event_name,start_date,end_date,location,organization_url,cfp_url,sponsors,cfp_due_date,organization_name,region,paid_or_free,event_url,tags,event_type,price_range,acronym,url_twitter,url_linkedin,image_url,language,featured,hash_tag,virtual,in_person,price,code_of_conduct_url,url_other
PyData Yerevan,2022-08-12,2022-08-13,"Yerevan, Armenia",https://numfocus.org,,,,NumFOCUS,Europe,paid,https://pydata.org/yerevan2022,python,Conference,$,,,,https://pydata.org/yerevan2022/wp-content/uploads/2022/03/PyData_logo.png,English,0.0,,No,Yes,$10-20,https://pydata.org/yerevan2022/conduct/,
SIGKDD 2022 (Knowledge Discovery & Data Mining),2022-08-14,2022-08-18,"Washington, DC, USA",https://www.acm.org/,,,,ACM,Canada / USA,,https://kdd.org/kdd2022/,,Conference,,KDD,,,,,0.0,,,,,,
Indaba 2022,2022-08-21,2022-08-26,"Tunia, Tunisia",https://deeplearningindaba.com/,,,,Deep Learning Indaba Ltd,Africa,free,https://deeplearningindaba.com/2022/,DL,Conference,$0,,,,https://deeplearningindaba.com/2022/wp-content/themes/indaba-template/images/deeplearningindaba.svg,English,0.0,,Unknown,Yes,$0,https://deeplearningindaba.com/about/code-of-conduct/,
PyCon LatAm 2022,2022-08-25,2022-08-27,,,,,2022-06-26,,Latin America,paid,https://pylatam.org,,Conference,$,,,,https://pylatam.org/img/logo.svg,Spanish,0.0,,Yes,No,$15,https://pylatam.org/conducta.html,
EuroSciPy 2022,2022-08-29,2022-09-02,"Basel, Switzerland",https://www.euroscipy.org/,,,,EuroSciPy,Europe,paid,https://www.euroscipy.org/2022/index.html,python,Conference,$,,,,https://www.euroscipy.org/static/2022/logo.png,English,1.0,,Yes,Yes,$50-500,https://www.euroscipy.org/2022/code_of_conduct.html,
PyBay 2022,2022-09-10,2022-09-10,"San Francisco, CA, USA",,,,2022-06-29,,Canada / USA,paid,https://pybay.com,python,Conference,$,,,,https://pybay.com/site_media/static/new/img/PyBay2021-Transparent-2.c42e9433d678.png,English,0.0,,No,Yes,$50-240,https://pybay.com/coc,
Open Source Summit Europe,2022-09-13,2022-09-16,"Dublin, Ireland",https://linuxfoundation.org,,,,Linux Foundation,Europe,paid,https://events.linuxfoundation.org/open-source-summit-europe/,,Conference,$$,,,,https://events.linuxfoundation.org/wp-content/uploads/2022/05/1000x400-Web.svg,English,0.0,#ossummit,Yes,Yes,$275-1250,https://events.linuxfoundation.org/open-source-summit-europe/attend/code-of-conduct/,
Grace Hopper Celebration 2022,2022-09-20,2022-09-23,"Orlando, Florida, USA",http://anitab.org/,,https://ghc.anitab.org/sponsors-and-partners/,,AnitaB.org,Canada / USA,paid,https://ghc.anitab.org,women-focused,Conference,$$$,,,,https://41qdz62gliex1muwn14byuj3-wpengine.netdna-ssl.com/wp-content/uploads/2022/03/bg-hero-section-b-679x561.png,English,0.0,,Yes,Yes,$199-1298,https://ghc.anitab.org/code-of-conduct/,
Women Bioinformatics Network Latin America,2022-09-20,2022-09-23,Online,,,,2022-07-11,,Latin America,free,https://wbds.la/conferences/3WBDSLAC/index.html,women-focused,Conference,$0,WBDS LA,,,https://wbds.la/conferences/3WBDSLAC/assets/img/smaller_banner_2.png,English,0.0,,Yes,No,$0,https://wbds.la/conduct.html,
Ghana Data Science Summit,2022-09-21,2022-09-23,Ghana,https://ghscientific.com/who-we-are/about/,,,,GhScientific,Africa,,https://ghscientific.com/ghana-data-science-summit-2022-indabax/,data science,Conference,,,,,,English,0.0,,Yes,Yes,,,
Privacy in Statistical Databases,2022-09-21,2022-09-23,"Paris, France",,,,2022-05-22,,Europe,paid,https://crises-deim.urv.cat/psd2022/,,Conference,$$,,,,https://crises-deim.urv.cat/psd2022/img/header_web_PSD2022.jpg,English,0.0,,,Yes,$260-485,Not found,
Women of MENA In Technology,2022-09-22,2022-09-23,Online,https://pwit-womenofmenaintech.com/,,,,Women of MENA in Tech,Online,,https://hopin.com/events/5th-annual-women-of-mena-in-technology-conference,women-focused,Conference,,,,,,,1.0,,Yes,No,,,
SciPy Latin America,2022-09-26,2022-09-28,"Salta, Argentina",,,,2022-08-17,,Latin America,,https://pythoncientifico.ar,python,Conference,,,,,https://pythoncientifico.ar/static/assets/images/scipy-la-2022_logo.png,Spanish,0.0,,Unknown,Yes,,https://pythoncientifico.ar/pages/code-of-conduct-scipylat/,
African Open Science Summit,2022-09-29,2022-10-01,"MboaLab, Yaoundé, Cameroon",,,,,,Africa,,https://africaosh.com/summits,,Conference,,AfricaOSH,,,https://africaosh.com/static/media/2022.c1a6711f85fcdd25df26.jpg,English,0.0,,,,,Not found,
PyCon Korea,2022-10-01,2022-10-02,,,,,,PyCon,,,https://2022.pycon.kr/,python,Conference,,,,,,,0.0,,,,,,
TWIMLcon: AI Platforms 2022,2022-10-04,2022-10-07,Online,https://twimlai.com/events/,,,,TWIML,Online,free,https://twimlai.com/conf/twimlcon/2022/,"AI, ML",Conference,$0,TWiML,,,https://s9i7q5a6.rocketcdn.me/wp-content/uploads/TWIMLcon-2022-Hero-Logo.svg,English,0.0,,Yes,No,$0,Not found,
ScalaCon,2022-10-04,2022-10-07,Online,https://www.scala-lang.org/,,,,Scala Language,Online,,https://www.scalacon.org/,scala,Conference,,,,,https://www.scalacon.org/img/logos/footer-brand.png,English,1.0,,Yes,No,,https://www.scalacon.org/coc/,
Women in Statistics and Data Science,2022-10-06,2022-10-08,"St. Louis, Missouri, USA",https://www.amstat.org,,,2022-07-15,ASA,Canada / USA,paid,https://ww2.amstat.org/meetings/wsds/2022/conferenceinfo.cfm,"women-focused, statistics, data science",Conference,$$,WSDS,,,https://ww2.amstat.org/meetings/wsds/2022/images/logo.png?v=2.0,English,0.0,,,Yes,$250-695,https://www.amstat.org/ASA/Meetings/Meeting-Conduct-Policy.aspx,
PyGotham 2022,2022-10-07,2022-10-08,Online,,,,2022-07-01,Big Apple Py,Online,free,https://2022.pygotham.tv,python,Conference,$0,,,,https://2022.pygotham.tv/static/images/logo.png,English,0.0,,Yes,No,$0,https://2022.pygotham.tv/about/code-of-conduct/,
Lesbians Who Tech 2022,2022-10-10,2022-10-14,"San Francisco, CA, USA",https://lesbianswhotech.org/about/,,,,Lesbians Who Tech,Canada / USA,,https://lesbianswhotech.org/sanfrancisco2022/,tech,Conference,,,,,https://i0.wp.com/lesbianswhotech.org/wp-content/uploads/2022/09/2022_SF_Summit_logo_IRL-virtual_home.png?w=1024&ssl=1,English,0.0,,Yes,,,,
GitKon 2022,2022-10-11,2022-10-13,Online,,https://gitkon.com/call-for-speakers/,,,,Online,free,https://gitkon.com,,Conference,$0,,,,http://gitkondev.wpengine.com/wp-content/uploads/GitKon-2022-BG-02.png,English,0.0,,Yes,,$0,https://gitkon.com/gitkon-code-of-conduct/,
PyCon Ghana,2022-10-13,2022-10-15,"Accra, Ghana",,,,,PyCon Ghana,Africa,paid,https://gh.pycon.org,,Conference,$,,,,"https://res.cloudinary.com/pyconghana/image/upload/dpr_auto,f_auto,q_auto,w_auto/v1/website_storage_location/static/2022/images/logo/logo-w.png",English,1.0,,No,Yes,₵80.00-₵150.00,https://gh.pycon.org/coc/,
DjangoCon 2022,2022-10-16,2022-10-21,"San Diego, California, USA",,,,,Django Foundation,Canada / USA,paid,https://2022.djangocon.us/,Django,Conference,$$$,,,,https://2022.djangocon.us/,English,1.0,,,Yes,$150-999,https://2022.djangocon.us/conduct/,
Python Brasil,2022-10-07,2022-10-23,, ,,,,"Manaus, Python Brasil Association",,,https://2022.pythonbrasil.org.br/,python,Conference,,,,, ,Portuguese,1.0,#PYTHONBRASIL2022,Yes,Yes,,https://2022.pythonbrasil.org.br/cdc,
Python at Scale,2022-10-27,2022-10-28,"Austin, TX, USA",https://numfocus.org,,,2022-08-01,NumFOCUS,Canada / USA,paid,https://www.pythonatscale.com,python,Conference,$$$,,,,https://www.pythonatscale.com/,English,0.0,,Yes,Yes,$275-776,https://numfocus.org/code-of-conduct,
All Things Open 2022,2022-10-30,2022-11-02,"Raleigh, North Carolina, USA",https://www.allthingsopen.org/,,,,All Things Open,Canada / USA,, https://2022.allthingsopen.org/,open source,Conference,,ATO,,,https://2021.allthingsopen.org/wp-content/uploads/2021/11/2022_ATO_SaveTheDate_5.5x8.5_v2.png,English,0.0,,Yes,Yes,,https://2022.allthingsopen.org/code-of-conduct/,
ODSC West 2022,2022-11-01,2022-11-03,"San Francisco, California, USA",,,,2022-06-22,Open Data Science,Canada / USA,,https://odsc.com/california/,,Conference,,,,,https://odsc.com/wp-content/uploads/2021/04/west-2021-logo-RECONNECT-3.png,English,0.0,,Yes,Yes,,https://odsc.com/code-of-conduct/,
Jamstack Conf,2022-11-07,2022-11-08,"San Fransico, CA, USA",,,,2022-08-12,,Canada / USA,"free,paid",https://jamstackconf.com/,,Conference,$0,,,,https://jamstack.org/conf/images/logo-jamstack-2022-cutout.svg,English,0.0,,Yes,Yes,$0-800,https://jamstack.org/code-of-conduct/,
PyData New York,2022-11-09,2022-11-11,"New York, New York, USA",https://numfocus.org,,,2022-08-24,NumFOCUS,Canada / USA,paid,https://pydata.org/nyc2022,python,Conference,$$$,,,,https://pydata.org/nyc2022/wp-content/uploads/2022/07/PyData_logo.png,English,1.0,,,Yes,$160-575,https://pydata.org/nyc2022/conduct/,
PyCon Ireland 2022,2022-11-12,2022-11-13,"Dublin, Ireland",https://python.ie,,,2022-09-08,,Europe,paid,https://python.ie/pycon-2022/,python,Conference,$$,,,,https://s3.python.ie/images/pycon_2022_banner_1050.width-500.png,English,0.0,,Unknown,Yes,$40-350,https://python.ie/pycon-2022/code-conduct/,
BangBangCon,2022-11-12,2022-11-13,Online,,,,,,Online,,https://bangbangcon.com/,"tech, computing",Conference,,,,,,English,0.0,,Yes,No,,https://bangbangcon.com/conduct.html,
PyChain 2022,2022-11-15,2022-11-15,Online,,,,,,Online,,https://www.pychain.org/,"blockchain, python",Conference,,,,,,,0.0,,Yes,No,,https://www.pychain.org/,
NODES 2022,2022-11-16,2022-11-17,Online,,,,2022-08-20,Neo4j,Online,,https://neo4j.com/nodes-2022/,Graph,Conference,,,,,https://dist.neo4j.com/wp-content/uploads/20200514094359/neo4j-nodes-2020-top-banner-background-1.svg,English,0.0,,Yes,No,,Not found,
Association for Computational Linguistic and NLP,2022-11-20,2022-11-23,Taiwan,,,,2022-07-15,,Asia,,https://www.aacl2022.org,NLP,Conference,,AACL,,,,English,0.0,,Yes,Yes,,https://www.aacl2022.org/code-of-conduct,
Pyjamas Conf 2022,2022-11-26,2022-11-27,Online,,,,,,Online,,https://pyjamas.live/,python,Conference,,,,,,,0.0,,,,,,
NeurIPS 2022,2022-11-28,2022-12-09,"New Orleans, LA, USA",https://nips.cc/,,,2022-07-04,Neural Information Processing Systems,Canada / USA,,https://nips.cc/Conferences/2022,"AI, ML, CV",Conference,$0,NeurIPS,,,,English,1.0,,Yes,Yes,,https://nips.cc/public/CodeOfConduct,
PyData Global 2022,2022-12-01,2022-12-03,Online,https://numfocus.org,,,,NumFOCUS,Online,paid,https://pydata.org/global2022/,"python, data science",Conference,$,,,,https://pydata.org/global2022/wp-content/uploads/2021/06/logo.png,English,1.0,,Yes,No,$25 - 200,https://pydata.org/global2022/conduct/,
PyTorch Conf 2022,2022-12-02,2022-12-02,"New Orleans, LA, USA",https://events.linuxfoundation.org/,,,,Linux Foundation,Canada / USA,,https://pytorchconference22.splashthat.com/,"DL, python",Conference,,,,,,English,1.0,,Yes,Yes,,https://events.linuxfoundation.org/about/code-of-conduct/,
PyData Eindhoven,2022-12-02,2022-12-02,"Eindhoven, Netherlands",https://numfocus.org,,,,NumFOCUS,Europe,,https://pydata.org/eindhoven2022/,python,Conference,,,,,,English,0.0,,Unknown,Yes,,https://pydata.org/eindhoven2022/conduct/,
PyCon Chile,2022-12-04,2022-12-04,"Santiago, Chile",,,,,,Latin America,,https://pycon.cl/,,Conference,,,,,,,1.0,,Yes,Yes,,,
Empirical Methods in Natural Language Processing,2022-12-07,2022-12-11,"Abu Dhabi, UAE",,,,2022-06-24,EMNLP,Middle East,,https://2022.emnlp.org,NLP,Conference,,ACL,,,https://2022.emnlp.org/assets/images/logos/acl-logo.png,English,0.0,,Yes,,,https://www.acm.org/code-of-ethics,
WiNLP 2022,2022-12-07,2022-12-07,"Abu Dhabi, UAE",https://www.winlp.org/,,,,Widening Natural Language Processing,Middle East,,https://www.winlp.org/winlp-2022-workshop/,NLP,Conference,,WiNLP,,,https://www.winlp.org/wp-content/uploads/2017/12/cropped-WideningNLP-h-250x100.png,English,1.0,,Yes,Yes,,,
PyCon Bolivia,2022-12-09,2022-12-10,"Cochabamba, Bolivia",,,,,PSF,Latin America,unknown,https://bo.pycon.org/,python,Conference,,,,,https://bo.pycon.org/images/logos/blue_only_logo.png,Spanish,0.0,,No,Yes,,https://bo.pycon.org/en/code-of-conduct,
PyData Tel Aviv,2022-12-13,2022-12-13,"Tel Aviv, Israel",https://numfocus.org,,,2022-09-12,NumFOCUS,Middle East,,https://pydata.org/telaviv2022/,python,Conference,,,,,,English,0.0,,No,Yes,,https://pydata.org/telaviv2022/conduct/,
Conf on Applications of Computer Vision ,2023-01-03,2023-01-07,"Waikoloa, Hawaii, USA",https://www.ieee.org/,,,2022-07-16,IEEE/CVF,Canada / USA,,http://wacv2023.thecvf.com/,"computer vision, ",Conference,,WACV,https://twitter.com/IEEEorg?s=20&t=uqhQPepiWo_te3Irv-Yywg,https://www.linkedin.com/company/ieee/,http://cvpr2019.thecvf.com/images/sponsors/ieee_cs_.png,English,0.0,,Unknown,Yes,,Not found,
Int'l Conf on Health Policy Statistics 2023,2023-01-09,2023-01-11,"Scottsdale, AZ, USA",https://www.amstat.org,,,2022-06-30,ASA,Canada / USA,,https://www.amstat.org/meetings/international-conference-on-health-policy-statistics,statistics,Conference,,HPS,https://twitter.com/AmstatNews?s=20&t=xb_aVg7v6V9g2LZXxAYHJg,https://www.linkedin.com/company/american-statistical-association---asa/,https://ww2.amstat.org/meetings/ichps/2023/images/logo.png,English,0.0,,Unknown,Yes,,https://www.amstat.org/meetings/code-of-conduct,
Conf on Statistical Practice,2023-02-02,2023-02-04,"San Francisco, CA, USA",https://www.amstat.org,,,2022-05-10,ASA,Canada / USA,,https://ww2.amstat.org/meetings/csp/2023/,statistics,Conference,,CSP,https://twitter.com/AmstatNews?s=20&t=xb_aVg7v6V9g2LZXxAYHJg,https://www.linkedin.com/company/american-statistical-association---asa/,https://ww2.amstat.org/meetings/csp/2023/images/logo.png?v=3.0,English,0.0,,Unknown,Yes,,https://www.amstat.org/meetings/code-of-conduct,
PyCon France,2023-02-16,2023-02-19,"Bordeaux, France",https://www.afpy.org/,https://cfp-2023.pycon.fr/cfp/,,,Association Francophone Python,Europe,,https://www.pycon.fr/2023/,python,Conference,,AFPY,,https://www.linkedin.com/company/afpy/?originalSubdomain=be,https://www.pycon.fr/2023/static/images/banniere.png,French,0.0,,No,Yes,,https://www.pycon.fr/2023/en/conduct.html,
PyCon Namibia 2023,2023-02-21,2023-02-23,"Windhoek, Namibia",https://na.pycon.org/,https://na.pycon.org/call-proposals/,,2023-01-23,PSF,Africa,paid,https://na.pycon.org/,python,Conference,,PSF,https://twitter.com/ThePSF?s=20&t=m6_uFeCsrTPmWNLUyl7Rzg,https://www.linkedin.com/in/pycon-namibia-a4317b22a/?originalSubdomain=na,https://pyconnamibia-live-d5a68224283c42b5b1767-afc7bd3.aldryn-media.io/filer_public_thumbnails/filer_public/50/a6/50a68625-20c8-44f2-a61d-080b05ca166e/2023_1024.jpg__1170x0_q90_subsampling-2_upscale.jpg,English,1.0,,Unknown,Yes,$30,https://na.pycon.org/code-of-conduct/,
WWC Connect 2023,2023-03-02,2023-03-02,Online,https://www.womenwhocode.com/,https://www.womenwhocode.com/connect-cfp,,2022-11-21,Women Who Code,Online,,https://www.womenwhocode.com/connect-cfp,women-focused,Conference,,WWC,https://twitter.com/WomenWhoCode?s=20&t=XQgQoYqC1mT8sFPYkazcsA,https://www.linkedin.com/company/women-who-code/,https://www.womenwhocode.com/assets/WWCode_Progress_Pride_Logo_Black-8640a72547cacc4a741d6d242e84cd3fcf5f9bf97a13644e11d21e831b82a327.png,English,0.0,,Yes,No,,https://www.womenwhocode.com/codeofconduct,
GeoPython 2023,2023-03-06,2023-03-08,"Basel, Switzerland",https://2023.geopython.net/,https://submit.geopython.net/geopython-2023/cfp,,2022-12-16,,Europe,,https://2023.geopython.net/,"GIS, python, ML",Conference,,,https://twitter.com/GeoPythonConf?s=20&t=QHxEznDS3MdWNfkz3hqppA,None,https://2023.geopython.net/assets/img/nwwpy4.png,English,0.0,,Yes,Yes,,https://2023.geopython.net/,
WiDS 2023,2023-03-08,2023-03-08,"Palo Alto, Ca",https://www.widsconference.org/,,,,Women in Data Science,Canada / USA,,https://www.widsconference.org/,women-focused,Conference,,WiDS,https://twitter.com/WiDS_Worldwide,https://www.linkedin.com/company/women-in-data-science-wids-at-stanford-university/,https://www.widsconference.org/uploads/5/5/8/3/55834673/editor/wids-matrix-1line-cropped.jpg?1628186429,English,0.0,,Yes,Yes,,,
SXSW 2023,2023-03-10,2023-03-19,"Austin, TX, USA",https://www.sxsw.com/,,,,South by Southwest,Canada / USA,,https://www.sxsw.com/,"tech, music",Conference,,SXSW,https://twitter.com/sxsw,https://www.linkedin.com/company/sxsw/,https://www.sxsw.com/wp-content/uploads/2022/11/23_SXSW_Carousel_waves-L_orange-pink.png,English,0.0,,No,Yes,,https://www.sxsw.com/attend/code-of-conduct/,
Bayes Comp 2023,2023-03-12,2023-03-17,"Levi, Finland",https://bayesian.org,,,2022-08-07,ISBA/BCS,Europe,,https://bayescomp2023.com,Bayes,Conference,,ISBA/BCS,https://twitter.com/ISBA_events?s=20&t=m9Mtf6GiEAAoe1l65JX87A,https://www.linkedin.com/company/international-society-for-bayesian-analysis/about/,"https://img1.wsimg.com/isteam/ip/4163f096-f0ee-419e-9105-9c6a8a61a862/Northern_Lights.jpg/:/rs=w:3070,m",English,0.0,,Yes,Yes,not announced,https://bayesian.org/governance/code-of-conduct/,
SIGCSE 2023 (Computer Science Education),2023-03-15,2023-03-18,"Toronto, ON, Canada",https://www.acm.org/,,,,ACM,Canada / USA,,https://sigcse2023.sigcse.org/,computer science,Conference,,ACM,https://twitter.com/theofficialacm,https://www.linkedin.com/company/association-for-computing-machinery/,https://sigcse2023.sigcse.org/getImage/orig/logo.jpg,English,0.0,,No,Yes,,,
PyCascades 2023,2023-03-18,2023-03-19,"Vancouver, BC, Canada",https://2023.pycascades.com/,,,2022-11-30,PyCascades,Canada / USA,,https://2023.pycascades.com/,python,Conference,,,https://twitter.com/pycascades,https://www.linkedin.com/company/pycascades/,https://2023.pycascades.com/media/images/PyCascades2023_Logo_White_Huge.width-800.png,English,0.0,,Unknown,Yes,,https://2023.pycascades.com/about/code-of-conduct/,
DataConnect West Conference,2023-03-23,2023-03-23,"Portland, OR, USA",https://www.womeninanalytics.com/,,,,Women in Analytics,Canada / USA,,https://www.dataconnectconf.com/dccwest,women-focused,Conference,,WIA-DCC,https://twitter.com/wia_community,https://www.linkedin.com/company/women-in-analytics-community/,https://uploads-ssl.webflow.com/6164cdbceec2a908841609b5/6351dd8d26d362758673d125_DCCWest%20Logo-p-500.png,English,0.0,,Unknown,Yes,,https://www.womeninanalytics.com/code-of-conduct,
PyTexas 2023,2023-04-01,2023-04-02,"Austin, TX, USA",https://www.pytexas.org/,https://www.pytexas.org/speaking,https://www.pytexas.org/sponsors/prospectus,2023-01-15,PyTexas,Canada / USA,,https://www.pytexas.org/,python,Conference,,,https://twitter.com/pytexas,None,https://www.pytexas.org/theme/img/2023-logo-text.svg,English,0.0,,Unknown,Yes,,https://www.pytexas.org/about/code-of-conduct,
"csv, conf, v7",2023-04-19,2023-04-20,"Buenos Aires, Argentina",https://csvconf.com/,https://docs.google.com/forms/d/e/1FAIpQLScx8_gwkE3pQGcp2nJpzDFN-mg0tAwu1HsQAp3NcWtkhbwNwA/viewform,,2022-11-25,csv conf v7,Latin America,,https://csvconf.com/,data,Conference,,,https://twitter.com/csvconference,None,,,0.0,,Unknown,Yes,,https://csvconf.com/coc/,
PyCon US 2023,2023-04-19,2023-04-27,"Salt Lake City, UT, USA",https://www.python.org/psf/,,,,Python Software Foundation,Canada / USA,,https://us.pycon.org/2023/,python,Conference,,PSF,https://twitter.com/ThePSF?s=20&t=tSIz1jgwXKrGQqeHRdBQvA,https://www.linkedin.com/company/thepsf/,https://us.pycon.org/2023/static/images/logo-2023.e2af3d60842d.svg,"English,Spanish",1.0,,Yes,Yes,,https://us.pycon.org/2023/about/code-of-conduct/,
PyCon DE & PyData Berlin 2023,2023-04-17,2023-04-19,"Berlin, Germany",https://numfocus.org/,,,,"NumFOCUS, PSF",Europe,,https://2023.pycon.de/,python,Conference,,NumFOCUS,https://twitter.com/NumFOCUS?s=20&t=9sXlfAi0KOtgUgEx89_bfg,https://www.linkedin.com/company/numfocus/,https://2022.pycon.de/static/media/PyConDE_PyDataBer_circle_trans_500.png,English,1.0,,Yes,Yes,,https://2023.pycon.de/code-of-conduct/,
AI & Statistics 2023,2023-04-25,2023-04-27,"Valencia, Spain",https://aistats.org/,https://aistats.org/aistats2023/call-for-papers.html,,2022-10-06,Society for AI and Statistics,Europe,,https://aistats.org/aistats2023/,"AI, statistics",Conference,,AISTATS,https://twitter.com/aistats_conf,None,https://aistats.org/assets/images/logo-aistats.jpg,English,0.0,,Yes,Yes,,https://aistats.org/aistats2023/code-of-conduct.html,
PyData Seattle 2023,2023-04-26,2023-04-28,"Seattle, WA, USA",https://numfocus.org,https://pydata.org/seattle2023/present/,,2023-02-06,NumFOCUS,Canada / USA,,https://pydata.org/seattle2023/,python,Conference,,NumFOCUS,https://twitter.com/NumFOCUS?s=20&t=9sXlfAi0KOtgUgEx89_bfg,https://www.linkedin.com/company/numfocus/,https://pydata.org/seattle2023/wp-content/uploads/2022/10/PyData_logo.png,English,0.0,,Unknown,Yes,,https://pydata.org/seattle2023/conduct/,
ICLR 2023,2023-05-01,2023-05-05,"Kigali, Rwanda",https://iclr.cc/,,,2022-09-28,Int'l Conf on Learning Representations,Africa,,https://iclr.cc,"AI, ML, CV",Conference,,ICLR,https://twitter.com/iclr_conf,https://www.linkedin.com/company/iclr/,https://iclr.cc/static/core/img/ICLR-logo.svg,English,0.0,,Unknown,Yes,,https://iclr.cc/public/CodeOfConduct,
ODSC East 2023,2023-05-09,2023-05-11,"Boston, MA, USA",https://odsc.com,,,,Open Data Science,Canada / USA,,https://odsc.com/boston/,data-science,Conference,,ODS,https://twitter.com/ODSC,https://www.linkedin.com/company/open-data-science/,https://odsc.com/wp-content/uploads/2022/08/ODSC-logo-1-1.png,English,0.0,,Unknown,Yes,,https://odsc.com/code-of-conduct/,
JupyterCon 2023,2023-05-10,2023-05-12,"Paris, France",https://numfocus.org,https://cfp.jupytercon.com/2023/cfp,,2022-12-15,NumFOCUS,Europe,,https://www.jupytercon.com/,"Jupyter, python",Conference,, NumFOCUS,https://twitter.com/NumFOCUS?s=20&t=9sXlfAi0KOtgUgEx89_bfg,https://www.linkedin.com/company/numfocus/,https://images.squarespace-cdn.com/content/v1/635c4fa641614511e4698394/e271c199-f780-4882-95f1-3db1ec7972a9/LogoHoriz.png?format=1500w,English,0.0,,Yes,Yes,,https://numfocus.org/code-of-conduct,
2023 Symposium on Data Science & Statistics,2023-05-23,2023-05-26,,https://www.amstat.org,,,,ASA,Canada / USA,,https://www.amstat.org/meetings/symposium-on-data-science-amp-statistics,"statistics, data-science",Conference,,SDSS,https://twitter.com/AmstatNews?s=20&t=xb_aVg7v6V9g2LZXxAYHJg,https://www.linkedin.com/company/american-statistical-association---asa/,https://ww2.amstat.org/meetings/sdss/2023/images/logo.png?v=2023,English,0.0,,Unknown,Yes,,https://www.amstat.org/meetings/code-of-conduct,
R/Finance 2022,2022-06-03,2022-06-04,"Chicago, IL, USA",https://www.rinfinance.com/,,,2023-01-27,,Canada / USA,,https://www.rinfinance.com/,rstats,Conference,,,https://twitter.com/rinfinance,None,,English,0.0,,No,Yes,,https://www.rinfinance.com/coc/,
COLT 2023 (Conf on Learning Theory),2023-07-19,2023-07-22,"Bangalore, India",https://learningtheory.org/,,,2023-02-10,Association for Computational Learning,Asia,,https://learningtheory.org/colt2023/,"AI, ML",Conference,,ACL,https://twitter.com/assoccomplearn,None,,English,0.0,COLT2023,Unknown,Yes,,https://learningtheory.org/colt2023/code-of-conduct.html,
DataConnect Conference,2023-07-20,2023-07-21,"Columbus, Ohio, USA",https://www.womeninanalytics.com/,,,2023-01-31,WIA,Canada / USA,paid,https://www.dataconnectconf.com/,women-focused,Conference,$$,WIA-DCC,http://www.twitter.com/wia_community,https://www.linkedin.com/company/women-in-analytics-community/,https://uploads-ssl.webflow.com/6164cdbceec2a908841609b5/61709899316ac23dda1364a8_columbus%20skyline.jpeg,English,0.0,,Unknown,Yes,$ 75-899,"https://www.womeninanalytics.com/code-of-conduct#:~:text=WIA%20is%20dedicated%20to%20providing,of%20participants%20in%20any%20form.",
ProductCon 2022,2023-07-20,2023-07-20,,https://productschool.com/productcon/,,,,Product Scool,,,https://productschool.com/productcon/online/,product,Conference,,,https://twitter.com/@productschool,https://www.linkedin.com/school/product-school/,https://assets.productschool.com/wp-content/uploads/2020/11/03185145/logo_productcon.svg,,0.0,,Unknown,,,https://productschool.com/code-of-conduct/,
ICML 2023,2023-07-23,2023-07-29,"Honolulu, HI, USA",https://icml.cc/,,,2023-01-26,Int'l Conf on Machine Learning,Canada / USA,,https://icml.cc/Conferences/2023,"AI, ML, CV",Conference,,ICML,https://twitter.com/icmlconf,None,,English,0.0,,Yes,Yes,,https://icml.cc/public/CodeOfConduct,
JuliaCon 2023,2023-07-24,2023-07-29,"Cambridge, MA, USA",https://numfocus.org,,,2023-01-15,NumFOCUS,Canada / USA,,https://juliacon.org/2023/,julialang,Conference,,NumFOCUS,https://twitter.com/NumFOCUS?s=20&t=9sXlfAi0KOtgUgEx89_bfg,https://www.linkedin.com/company/numfocus/,https://juliacon.org/assets/shared/img/logo_20.svg,English,0.0,,No,Yes,,https://juliacon.org/2023/coc/,
JSM 2023,2023-08-05,2023-08-10,"Toronto, Ontario, Canada",https://www.amstat.org,,,2022-09-08,ASA,Canada / USA,,https://ww2.amstat.org/meetings/jsm/2023/,statistics,Conference,,JSM,https://twitter.com/AmstatNews?s=20&t=xb_aVg7v6V9g2LZXxAYHJg,https://www.linkedin.com/company/american-statistical-association---asa/,https://ww2.amstat.org/meetings/jsm/2023/images/logo.png?v=2023,English,0.0,,Unknown,Yes,,https://www.amstat.org/meetings/code-of-conduct,
Regulatory-Industry Statistics Workshop (ASA Biopharmaceutical),2023-09-27,2023-09-29,"Rockville, MD, USA",https://www.amstat.org,,,2022-12-21,ASA,Canada / USA,,https://www.amstat.org/meetings/asa-biopharmaceutical-section-regulatory-industry-statistics-workshop,statistics,Conference,,JSM,https://twitter.com/AmstatNews?s=20&t=xb_aVg7v6V9g2LZXxAYHJg,https://www.linkedin.com/company/american-statistical-association---asa/,https://ww2.amstat.org/meetings/biop/2023/images/logo.png?v=2023,English,0.0,,Unknown,Yes,,https://www.amstat.org/meetings/code-of-conduct,
All Things Open 2023,2023-10-15,2023-10-18,"Raleigh, North Carolina, USA",https://www.allthingsopen.org/,https://www.allthingsopen.org/save-the-date-ato-2023-october-15-18-in-downtown-raleigh-nc/,,,All Things Open,Canada / USA,,https://2023.allthingsopen.org/,open source,Conference,,ATO,https://twitter.com/AllThingsOpen,https://www.linkedin.com/company/all-things-open/,,English,0.0,,Yes,Yes,,https://2023.allthingsopen.org/code-of-conduct//,
